分类: 卫视频道, 名称: 东方卫视, 有效: 16, IPv4: 74, IPv6: 27, 最小延迟: 73 ms, 最高速率: 24.83 MiB/s, 平均速率: 14.34 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.81, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 北京卫视, 有效: 15, IPv4: 86, IPv6: 21, 最小延迟: 50 ms, 最高速率: 24.51 MiB/s, 平均速率: 13.20 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.67, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 广东卫视, 有效: 16, IPv4: 83, IPv6: 31, 最小延迟: 72 ms, 最高速率: 25.92 MiB/s, 平均速率: 15.16 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.94, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 大湾区卫视, 有效: 0, IPv4: 105, IPv6: 31, 最小延迟: 49 ms, 最高速率: 11.91 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 1280x720, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 山东卫视, 有效: 16, IPv4: 75, IPv6: 20, 最小延迟: 71 ms, 最高速率: 26.43 MiB/s, 平均速率: 13.79 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 湖北卫视, 有效: 15, IPv4: 79, IPv6: 22, 最小延迟: 65 ms, 最高速率: 28.10 MiB/s, 平均速率: 13.94 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.67, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 河南卫视, 有效: 12, IPv4: 65, IPv6: 18, 最小延迟: 41 ms, 最高速率: 26.49 MiB/s, 平均速率: 20.08 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 辽宁卫视, 有效: 15, IPv4: 78, IPv6: 19, 最小延迟: 52 ms, 最高速率: 26.77 MiB/s, 平均速率: 13.46 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.67, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 安徽卫视, 有效: 15, IPv4: 76, IPv6: 21, 最小延迟: 60 ms, 最高速率: 26.52 MiB/s, 平均速率: 14.13 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.35, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 天津卫视, 有效: 14, IPv4: 77, IPv6: 23, 最小延迟: 51 ms, 最高速率: 25.99 MiB/s, 平均速率: 10.37 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.14, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 河北卫视, 有效: 12, IPv4: 73, IPv6: 18, 最小延迟: 52 ms, 最高速率: 27.44 MiB/s, 平均速率: 15.60 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
